"Time","D5 siloxane (370) (ppt)","Methanol (ppt)","Propyne (ppt)","Acetonitrile (ppt)","Acetaldehyde (ppt)","Formic Acid (ppt)","Butenes (ppt)","Acetone (ppt)","Acetic Acid (ppt)","Furan (ppt)","Isoprene (ppt)","MACR/MVK (ppt)","MEK (ppt)","Benzene (ppt)","Methylfurans (ppt)","Toluene (ppt)","Furaldehydes (ppt)","C8 Aromatics (ppt)","Methylfurfurals (ppt)","C9 Aromatics (ppt)","C10 Aromatics (ppt)","Monoterpenes (ppt)","Ozone (ppm)","Ambient Temperature","PM2.5 (ug/m3)"
2019-03-15 15:00:00,2.71758721294698,3876.14343333333,649.80179,175.977190333333,900.184293333333,995.438686666667,398.039416666667,1330.62094666667,876.93857,8.30241756666667,93.2363646666667,30.2999226666667,136.854733333333,224.467213333333,8.7102546,304.099513333333,6.88666066666667,283.858772666667,1.38501644666667,295.089343666667,87.4694986666667,43.614605,0.031,7.6,11.7
2019-03-15 16:00:00,1.25344627550694,2797.13516666667,359.024708333333,110.11040375,485.067229166667,711.267225,192.445220833333,969.815920833333,502.586366666667,5.29168482083333,42.8758908333333,16.76052125,110.0204675,130.883866666667,3.46972603166667,104.18403,4.57215433416667,87.3046479166667,0,102.444844166667,28.2488870833333,28.250225,0.035,7.8,4.5
2019-03-15 17:00:00,1.01372514872385,4063.74129166667,540.451566666667,99.92636625,724.685175,1138.49601666667,286.646579166667,1406.24370833333,642.708070833333,6.46582792083333,64.4434041666667,24.0706766666667,116.780725,170.956308333333,7.53412095833333,183.585929166667,4.216197575,180.948925,0.645730171666667,109.560474583333,39.6144216666667,47.3544908333333,0.039,6,1.3
2019-03-15 18:00:00,1.18708634299239,5410.10463333333,439.66037,139.584105,565.540186666667,1393.37733,283.162336666667,1522.1296,852.032423333333,5.0388638,65.325273,24.0917633333333,123.265016666667,159.12379,7.51434826666667,154.23575,3.081264158,146.707256666667,0.771886846333333,107.640285666667,38.207603,43.6771483333333,0.039,6.1,2.1
2019-03-15 19:00:00,1.50716956118467,7025.186,857.817491666667,94.96496875,1100.83770833333,964.563183333333,396.893504166667,1590.75041666667,852.940216666667,6.09785038333333,97.1935908333333,33.23525,131.987783333333,226.219554166667,8.80242716666667,249.023995833333,12.6909106666667,236.863654166667,1.6602267275,146.047760416667,67.5727983333333,82.9993204166667,0.041,4,4.3
2019-03-15 20:00:00,2.38520818141111,9923.30708333333,1154.50709583333,104.271922916667,1385.99804166667,1196.93053333333,664.081779166667,1889.10908333333,1145.3451,9.86014483333333,151.23970875,48.7411295833333,155.458591666667,302.199583333333,13.6201004583333,451.2967875,21.2151894583333,382.862395833333,4.13054424875,234.02072125,110.908402083333,112.518145833333,0.039,1.1,2.1
2019-03-15 21:00:00,2.33717115716753,7521.99453333333,922.482246666667,99.397736,1111.25023666667,1148.92603666667,467.859303333333,1367.9279,1273.18089666667,29.6131302,135.564965,69.394503,157.625466666667,252.636723333333,36.221701,294.8288,46.5960763333333,274.406523333333,19.1350514666667,165.554763666667,84.1604913333333,169.26878,0.027,-0.8,2.8
2019-03-15 22:00:00,2.167571611335,6808.26016666667,866.949066666667,93.1541258333333,934.727954166667,878.871345833333,532.2841125,1212.28175,910.3301,12.1312751666667,128.819237083333,51.147085,137.346654166667,281.414279166667,19.0694325,353.3752625,19.3502066666667,340.866295833333,5.21842345833333,197.907354166667,93.5174066666667,137.927230833333,0.013,-1.6,8.6
2019-03-15 23:00:00,3.07969471630526,8094.69675,1248.20922916667,121.943687916667,1503.54908333333,986.923616666667,604.263004166667,1865.27125,1409.410875,53.7192785833333,174.495595833333,107.9393425,169.459566666667,341.010245833333,66.5544770833333,426.687241666667,79.0580529166667,366.5782375,29.4489391666667,223.637783333333,106.113297916667,217.317920833333,0.003,-2.8,37.7
2019-03-16 00:00:00,3.8422557730442,7072.7611,1050.29372333333,144.852551333333,1367.76979333333,901.07426,527.439516666667,1853.6594,1447.42408666667,54.6029813333333,151.806103333333,99.4402596666667,173.413443333333,295.09495,58.5944276666667,359.0918,85.2071043333333,315.645226666667,30.5233786666667,197.55183,93.2759783333333,177.98021,0.003,-3.6,13.4
2019-03-16 01:00:00,3.01774529840722,5873.04625,997.080075,106.181980833333,1241.86558333333,769.135508333333,420.10685,1808.37048333333,1122.9311375,41.18045125,129.636071666667,83.51267625,157.416841666667,251.859704166667,44.8645108333333,287.004225,65.6160483333333,242.77785,22.021145,138.584788333333,75.33098,164.965666666667,0.002,-4.4,11.2
