"Time","Methanol (ppt)","Propyne (ppt)","Acetonitrile (ppt)","Acetaldehyde (ppt)","Formic Acid (ppt)","Butenes (ppt)","Acetone (ppt)","Acetic Acid (ppt)","Furan (ppt)","Isoprene (ppt)","MACR/MVK (ppt)","MEK (ppt)","Benzene (ppt)","Methylfurans (ppt)","Toluene (ppt)","Furaldehydes (ppt)","C8 Aromatics (ppt)","Methylfurfurals (ppt)","C9 Aromatics (ppt)","C10 Aromatics (ppt)","Monoterpenes (ppt)","m39_m21","Ethanol (ppt)","Maleic Anhydride (ppt)","D5 siloxane (ppt)","Formaldehyde (ppt)","CO (ppb)","ozone","pm25"
2020-01-21 01:00:00,11660.4651809167,873.928096143451,164.793194529836,1500.16525665574,236.30018192704,625.007826430303,1976.97292170759,302.744906708557,30.6329170394364,230.541580939557,59.4602859447475,231.627795335721,416.638036983586,35.0918541753423,701.23081021658,41.7417737184639,453.536209131817,12.0725388692996,191.16333763105,136.031598081655,152.177289148168,0.875489931685704,4456.16788181753,14.0851185793282,27.1449300333746,2088.3437402519,NA,"0.003","11.1"
2020-01-21 02:00:00,6902.66824563843,1007.7432390538,109.399956538311,1027.76634959539,304.555331079658,700.377129963093,1339.21180364179,374.810946845641,33.5112842743716,152.388001468001,65.4974049534708,140.032012183439,379.717283088055,34.737112991022,488.014765234065,41.6503721074202,430.880777044347,10.5406858417533,206.155096832143,85.7173846759499,161.17349397622,0.884607341482061,5349.651202064,13.2061081196008,35.5001178697888,2250.06919910502,NA,"0.005","11.9"
2020-01-21 03:00:00,4888.8014114822,789.382315454431,93.2511386170484,1211.87120635485,228.592572317695,512.266611061728,1180.96293152859,257.767118441864,24.183354121414,118.754209348795,56.1316503395644,124.942250117685,310.661147163699,27.3516599997199,359.552361921863,33.1526936207308,305.603870566226,7.6103312831871,141.886146487743,59.8486318503774,125.130498649189,0.872879641269325,3882.64702398164,12.9405276656022,27.5840004030533,2279.8639775064,NA,"0.003","10.9"
2020-01-21 04:00:00,3944.80557924719,634.879326896279,97.0544342145607,1163.51344874165,253.976106206719,400.131777146414,1059.85998795771,261.836758617093,17.4550575668987,94.0110906510333,46.8459509795627,113.130923676581,257.11875180133,20.0196921446787,276.209986387016,26.4395160767548,228.180699173144,5.51507887076578,104.717553574905,45.3199437723791,104.214602991606,0.864369189739918,2995.63699545338,11.6340885808169,20.7019564586382,2154.97335745647,NA,"0.003","8.5"
2020-01-21 05:00:00,4016.34788808122,565.274677287637,83.2557591686414,940.669975945346,134.928303175165,368.028543909815,977.193825358018,171.475367940667,12.6197161204882,86.3981253482863,41.7857461288552,106.528958003867,246.926359008154,15.3944972040996,257.81801131099,20.1687949640057,216.711481954553,3.61652696220468,99.428156327614,42.298382251927,104.045365985515,0.861586898217799,2732.35190165396,10.2874642429687,19.8044550183542,1835.07144215867,NA,"0.002","8.3"
2020-01-21 06:00:00,4719.81736494863,581.844186903993,95.4711430880428,1109.04994930216,164.745335287211,386.297225908568,997.546825293631,199.759679571124,10.5230308090636,89.3569963835992,40.1781335351444,105.189750521636,249.176442722049,14.6152335390286,264.951704813097,18.8940093162547,229.071371647001,3.36949873212918,106.511257296354,45.8604235832039,113.706195994519,0.861154732639954,3075.91241638956,10.1410029359426,22.1950339067159,2144.26142878506,NA,"0.002","8.5"
2020-01-21 07:00:00,6082.09290154828,1373.70939621018,101.087032172138,1184.53981193846,178.940237202826,1883.33254911646,1077.57931223704,214.334670809524,13.9557985380725,147.089001462846,44.752623027254,128.84126460437,395.542474777321,16.0948498649194,460.614714138144,21.2145832901806,424.341797435669,4.05491912086711,210.897216239863,83.7323119792856,140.712090541971,0.865930308476265,4708.62912170722,12.1521066728927,33.361152264454,2139.98721941402,NA,"0.002","9"
2020-01-21 08:00:00,10719.667497295,1488.98279471049,117.673360785186,1185.8262316965,146.331839609542,1885.08208603359,1144.13829037554,213.676512682973,16.9037642642482,182.214320803582,52.5849921277933,141.975418403434,477.678131512834,19.1981264635292,589.9138663379,23.6627682380211,577.383211530204,4.78073180664599,288.074270176329,117.047252961806,178.836382861995,0.863679061884095,5566.5073972735,12.2346363207571,45.888637928253,2322.00903102543,NA,"0.003","12.2"
2020-01-21 09:00:00,11808.8084172446,1625.68074244625,123.041949351247,1482.53047420745,284.122097731082,1817.58067171175,1273.13066046619,289.663858115372,18.6406038811184,219.815891049206,65.0275303437247,159.488196095926,610.538570830506,22.8998086839657,812.460912060235,24.7551563336548,841.402836823042,5.96502101370392,432.712297084747,166.325891711643,187.899433262657,0.86643338370082,7278.88523185486,13.68436208009,58.5662696210493,2935.24202739976,NA,"0.004","12.6"
2020-01-21 10:00:00,10777.0711033672,1449.95375584956,129.749891111741,1611.19208130509,249.404704187475,1464.94535684696,1355.71109561946,279.705334229292,18.6067990222855,205.511701778777,66.8328311556788,167.989420032767,581.463570289184,23.6559718807395,769.836208224151,23.9175172083106,785.042938559262,6.12668605467371,405.313989551461,160.671268189382,174.929963946596,0.874700659277105,6405.4442390004,13.9491288192517,68.7178729925221,3078.11343163625,NA,"0.007","9.2"
